income_msoa,pct_manag_prof,median_age,pct_minority,income_msoa_tercile,pct_manag_prof_tercile,median_age_tercile,pct_minority_tercile,stable_lockdown,stable_covid
39768.75,27.922,37.356,18.365,Low,Low,Low,High,0,0
50045.455,43.533,51.869,5.636,High,High,High,Medium,1,1
41170.0,38.336,49.083,7.318,Medium,Medium,High,Medium,1,0
56095.0,46.688,46.009,5.48,High,High,High,Medium,1,0
31700.0,22.054,33.615,7.842,Low,Low,Low,Medium,1,0
42346.154,32.91,46.7,3.045,Medium,Medium,High,Low,0,0
45940.0,30.533,23.757,34.323,Medium,Medium,Low,High,1,1
55400.0,33.496,37.389,43.146,High,Medium,Low,High,1,0
64084.615,47.918,36.657,21.267,High,High,Low,High,0,1
46800.0,28.892,35.194,19.297,Medium,Low,Low,High,1,1
37700.0,33.161,55.872,2.034,Low,Medium,High,Low,0,1
37490.909,24.003,50.549,1.703,Low,Low,High,Low,1,0
58418.75,49.687,40.516,12.247,High,High,Medium,Medium,1,0
51700.0,31.261,36.797,9.389,High,Medium,Low,Medium,1,1
44300.0,40.79,48.553,4.169,Medium,High,High,Low,1,1
41671.429,36.211,48.723,1.534,Medium,Medium,High,Low,0,0
48942.857,41.615,47.213,4.829,Medium,High,High,Low,1,1
34925.0,24.553,39.163,7.429,Low,Low,Low,Medium,1,1
65400.0,37.984,40.22,65.331,High,Medium,Medium,High,0,0
31600.0,17.991,33.335,36.015,Low,Low,Low,High,1,1
37689.474,28.536,40.478,3.389,Low,Low,Medium,Low,1,1
45200.0,40.629,50.419,2.463,Medium,High,High,Low,0,1
50692.0,40.394,39.528,16.603,High,High,Medium,High,0,0
37200.0,25.67,47.753,3.409,Low,Low,High,Low,0,0
35900.0,11.428,28.344,70.697,Low,Low,Low,High,0,1
36600.0,25.263,48.313,1.734,Low,Low,High,Low,0,1
45026.667,29.998,36.996,28.198,Medium,Medium,Low,High,1,1
35515.789,26.463,36.791,21.227,Low,Low,Low,High,1,0
40804.167,29.381,37.592,14.637,Medium,Low,Low,Medium,0,1
45864.706,42.773,45.73,4.724,Medium,High,High,Low,0,1
42700.0,30.944,37.516,13.173,Medium,Medium,Low,Medium,1,0
35933.333,30.481,52.483,1.588,Low,Medium,High,Low,1,1
30900.0,19.954,36.649,8.079,Low,Low,Low,Medium,1,1
62400.0,47.931,38.527,38.21,High,High,Low,High,0,1
40800.0,28.902,34.803,22.555,Low,Low,Low,High,1,1
30900.0,19.954,36.649,8.079,Low,Low,Low,Medium,1,1
49300.0,51.034,50.687,4.574,High,High,High,Low,0,0
43300.0,38.801,50.804,3.377,Medium,Medium,High,Low,1,0
44650.0,42.587,51.624,5.71,Medium,High,High,Medium,1,0
