cluster_202002,income_msoa,pct_manag_prof,median_age,pct_minority
2,55856.0,42.592,35.911,11.82
2,51556.25,34.745,45.312,16.211
1,29677.778,16.406,39.497,6.851
2,57183.333,47.982,50.198,3.586
3,41118.182,28.376,44.184,4.66
0,56100.0,43.677,44.419,5.387
2,72900.0,59.382,37.762,28.143
0,54100.0,49.302,51.313,2.834
2,37000.0,31.364,51.409,3.046
1,67755.172,54.928,37.518,29.64
0,38700.0,20.536,32.552,65.394
2,40900.0,33.312,48.052,3.551
3,40431.579,40.492,51.267,4.08
0,38126.667,31.608,50.885,5.052
0,41293.333,31.026,39.879,5.896
0,53845.455,30.112,37.978,59.745
1,78046.667,56.019,46.419,52.253
2,43400.0,40.054,54.6,2.326
3,45900.0,24.144,35.364,63.636
2,55577.778,33.182,40.75,57.18
0,35800.0,30.103,44.896,4.195
3,40100.0,38.839,48.572,1.617
2,39000.0,29.153,44.468,2.049
2,35700.0,26.731,44.677,4.255
3,30000.0,15.479,37.653,20.409
1,49825.0,46.629,45.848,10.255
2,42100.0,34.791,50.29,1.727
0,44487.5,42.275,52.776,3.231
3,65700.0,49.899,37.803,29.621
3,33468.75,27.255,39.151,2.523
2,41262.5,34.671,48.915,5.046
1,53342.857,42.245,38.636,36.419
0,63660.87,42.371,40.857,11.426
3,29814.286,13.079,32.57,32.44
2,62342.105,49.712,40.743,20.373
3,38105.556,28.776,36.413,11.251
3,33311.111,27.383,48.878,5.414
3,47722.857,,,
3,45994.444,36.565,42.812,10.332
3,58900.0,40.894,40.758,7.704
3,45118.182,33.689,50.392,2.185
0,33200.0,26.279,48.753,3.439
3,51414.286,45.299,49.663,5.954
2,62900.0,48.831,43.416,26.584
2,45500.0,39.097,45.852,7.051
3,36500.0,,,
2,34714.286,26.002,43.598,4.338
0,51900.0,43.831,49.761,3.168
0,40700.0,,,
2,45966.667,33.852,47.951,2.456
2,46650.0,29.33,33.393,67.839
3,38800.0,23.555,35.095,22.494
2,38064.286,29.966,52.025,1.194
3,49257.143,36.591,42.161,3.599
1,40940.0,24.752,41.16,3.386
3,44200.0,37.049,51.341,2.222
2,52180.952,42.081,45.305,7.479
3,29600.0,20.439,39.155,3.332
2,36300.0,20.618,39.578,5.29
2,40850.0,37.416,36.429,11.356
0,40500.0,21.248,35.576,61.226
2,49500.0,23.749,35.324,83.268
0,48363.158,36.597,36.401,24.728
3,45000.0,46.425,46.521,4.187
2,64921.053,57.809,34.583,28.28
1,38500.0,26.847,39.096,22.979
3,39700.0,19.251,34.854,52.801
0,44660.87,32.349,44.876,4.294
2,41200.0,29.489,47.5,3.645
3,37450.0,29.475,48.204,3.068
0,37046.154,29.538,50.937,1.697
0,43200.0,30.824,46.324,4.127
4,60820.0,45.503,48.274,5.528
3,33740.0,13.336,35.718,29.502
4,50716.667,32.284,36.709,56.634
2,34823.529,23.802,38.895,9.644
2,42200.0,14.622,36.588,96.016
3,44612.0,25.743,35.501,35.671
2,44200.0,37.049,51.341,2.222
0,74133.333,53.589,42.709,13.316
3,53032.258,38.108,40.735,6.61
3,44671.429,38.392,55.92,3.947
2,35500.0,28.015,57.292,1.596
2,56857.143,41.312,35.694,30.807
0,52344.828,38.679,40.596,7.798
2,55500.0,50.369,34.938,34.8
0,45215.385,,,
2,36438.462,21.739,28.037,14.555
0,42900.0,33.165,40.997,7.407
2,32400.0,21.729,42.797,2.534
1,48688.235,33.409,44.172,6.364
3,38222.222,26.016,43.468,3.594
3,44300.0,31.52,34.044,24.239
0,52400.0,41.449,44.635,3.888
1,33985.714,,,
3,28800.0,28.825,51.632,8.628
3,36533.333,20.651,34.372,46.279
3,44700.0,32.047,49.021,2.347
2,61900.0,52.194,36.57,31.419
2,61564.286,39.736,40.573,38.371
3,45650.0,44.363,58.227,3.657
1,62900.0,50.399,41.216,23.04
3,38500.0,31.65,50.152,6.166
3,54950.0,49.11,35.454,27.824
2,34788.889,21.699,43.831,3.641
1,55100.0,37.511,50.09,6.624
2,45600.0,34.936,48.482,3.013
0,40771.429,19.606,28.509,48.413
2,39400.0,32.091,37.85,5.135
0,44000.0,46.994,47.671,3.303
2,67950.0,55.518,39.537,27.19
3,56600.0,43.193,39.913,10.932
2,53814.286,51.159,46.778,7.317
2,43300.0,35.724,41.326,3.993
3,41790.909,37.769,46.04,13.41
2,51775.0,39.906,47.642,10.674
0,34700.0,16.316,27.884,38.802
2,43100.0,41.933,45.972,12.822
2,44660.87,32.349,44.876,4.294
0,43823.81,32.581,45.778,4.523
3,37400.0,28.187,38.359,22.626
2,51225.0,39.4,48.839,6.682
2,30000.0,12.272,33.17,25.861
0,45400.0,39.41,38.758,11.371
2,36600.0,32.26,43.558,2.551
2,55600.0,53.11,46.066,26.901
1,54700.0,49.676,33.634,38.255
1,74020.0,62.983,34.24,18.49
2,61700.0,42.708,38.818,28.001
1,40385.714,25.128,37.723,23.079
0,30000.0,15.679,36.582,11.345
1,55300.0,44.945,42.389,16.876
1,49871.429,35.596,39.859,23.182
3,43818.182,40.79,45.116,5.559
0,30200.0,22.914,41.592,6.179
0,37000.0,28.055,46.229,1.703
3,49008.0,31.136,37.541,10.763
2,45616.667,37.157,49.938,3.242
3,40650.0,37.812,50.483,1.489
0,48722.222,42.069,41.099,10.46
0,41900.0,31.873,41.477,4.656
2,48900.0,32.849,35.972,29.968
3,39700.0,34.536,42.593,9.444
3,52300.0,34.436,42.533,4.262
3,49680.0,36.101,53.285,2.607
3,42300.0,24.354,34.898,28.698
3,44300.0,39.383,51.457,2.335
2,40300.0,29.739,57.381,1.038
2,29887.5,17.708,35.041,31.857
0,38985.714,34.99,40.857,26.723
2,35538.462,24.405,36.43,11.717
2,51705.263,31.424,38.628,25.485
2,62046.667,51.774,41.088,45.952
3,35900.0,22.44,42.645,2.675
3,35952.381,24.691,35.874,16.821
0,46185.714,39.476,48.333,2.438
2,37100.0,28.845,44.231,11.521
1,50300.0,43.684,42.536,6.998
0,45060.0,29.087,38.939,20.909
0,43700.0,32.346,44.947,9.722
0,26381.25,18.575,51.289,2.392
2,40446.667,35.859,44.838,2.95
0,48730.769,42.221,39.763,8.779
2,58121.429,41.992,44.032,11.968
3,50469.565,47.638,41.859,6.146
1,59290.0,45.836,39.585,17.717
4,55100.0,33.059,35.107,73.362
2,33183.333,23.986,49.508,3.123
2,45600.0,37.016,49.671,2.553
0,53700.0,43.102,51.006,4.112
1,43100.0,32.326,36.52,46.191
3,72712.0,51.879,40.22,10.955
2,59573.333,38.53,41.218,68.667
0,44070.0,17.508,23.641,30.636
2,42371.429,36.248,43.836,52.68
0,39800.0,19.862,34.322,43.696
1,51371.429,39.333,38.366,41.841
4,57444.444,48.713,39.13,60.67
1,30400.0,16.057,35.83,5.064
3,42580.0,38.806,48.262,9.082
1,42816.667,28.229,32.858,60.923
3,44160.0,36.759,46.125,3.859
0,52858.333,,,
0,63300.0,45.494,40.673,18.619
3,58666.667,42.644,33.127,30.023
1,37153.846,25.672,40.304,8.484
